iter	Accuracy	MultiClass
308	0.5208734746	1.878743526
309	0.5230143438	1.876597578
310	0.5236566046	1.874899698
311	0.5234425177	1.872563843
312	0.5240847784	1.870223769
313	0.525155213	1.86806454
314	0.5249411261	1.865844699
315	0.5264397345	1.86236663
316	0.527938343	1.861283275
317	0.5270819953	1.858654278
318	0.5270819953	1.85717095
319	0.5281524299	1.853698011
320	0.5285806037	1.851950194
321	0.5292228645	1.849937741
322	0.5294369514	1.847291136
323	0.5294369514	1.844434783
324	0.5294369514	1.841525763
325	0.5311496468	1.84030876
326	0.5313637337	1.838670516
327	0.5328623421	1.837216216
328	0.5332905159	1.833873331
329	0.5360736459	1.831279448
330	0.5367159067	1.829314289
331	0.5373581674	1.826276833
332	0.5375722543	1.824020246
333	0.5377863413	1.821287412
334	0.5380004282	1.818528044
335	0.5390708628	1.816150347
336	0.5386426889	1.813883447
337	0.540997645	1.810917957
338	0.541211732	1.809224975
339	0.541211732	1.80793025
340	0.5414258189	1.805977975
341	0.5427103404	1.803673349
342	0.5416399058	1.800726118
343	0.5420680796	1.799104971
344	0.5422821666	1.797397385
345	0.5439948619	1.794339132
346	0.5446371227	1.79193264
347	0.5439948619	1.789841697
348	0.5461357311	1.78763153
349	0.5467779919	1.785064317
350	0.5482766003	1.782681171
351	0.549132948	1.779732309
352	0.5487047741	1.778743029
353	0.5499892957	1.775897389
354	0.5508456433	1.771830515
355	0.5512738172	1.769330226
356	0.5512738172	1.767433186
357	0.5529865125	1.76572487
358	0.5536287733	1.763528433
359	0.5536287733	1.761294203
360	0.5532005994	1.759586729
361	0.554271034	1.757659434
362	0.554271034	1.755575013
363	0.5540569471	1.754126048
364	0.554485121	1.75227989
365	0.5564119032	1.750244082
366	0.5568400771	1.748415851
367	0.557054164	1.746280912
368	0.557054164	1.744799976
369	0.5581245986	1.742664144
370	0.5579105117	1.740893339
371	0.559623207	1.738536524
372	0.5602654678	1.736828193
373	0.5609077285	1.734584422
374	0.5628345108	1.731980337
375	0.5634767716	1.730749247
376	0.5634767716	1.729032706
377	0.5641190323	1.72772701
378	0.5643331192	1.726055667
379	0.5656176408	1.723916842
380	0.5651894669	1.722634241
381	0.5654035538	1.72127822
382	0.5658317277	1.719956259
383	0.5662599015	1.718260736
384	0.5660458146	1.716576446
385	0.5673303361	1.713888277
386	0.5696852922	1.711475072
387	0.5698993791	1.709683186
388	0.5707557268	1.708492925
389	0.5709698137	1.707224467
390	0.5724684222	1.705459669
391	0.572896596	1.704107465
392	0.5726825091	1.701930833
393	0.5737529437	1.700433947
394	0.5746092914	1.698620809
395	0.5741811175	1.696586804
396	0.5741811175	1.694584964
397	0.5750374652	1.69346569
398	0.5763219867	1.69034521
399	0.5771783344	1.688495993
400	0.5780346821	1.686280692
401	0.5771783344	1.684395775
402	0.5773924213	1.681790599
403	0.5773924213	1.678836319
404	0.5780346821	1.677286813
405	0.581031899	1.674996812
406	0.5806037251	1.673931391
407	0.5801755513	1.672485931
408	0.5806037251	1.670727517
409	0.5801755513	1.669488818
410	0.581031899	1.668059061
411	0.5827445943	1.666423161
412	0.5816741597	1.66481322
413	0.5816741597	1.663836841
414	0.5818882466	1.662887476
415	0.5827445943	1.661073493
416	0.5821023335	1.659722882
417	0.5833868551	1.658072693
418	0.5838150289	1.655759445
419	0.5840291158	1.654215394
420	0.5844572897	1.652633331
421	0.5838150289	1.65069669
422	0.5842432027	1.648319959
423	0.583600942	1.646547798
424	0.5842432027	1.644989437
425	0.5855277243	1.643507988
426	0.586169985	1.641978557
427	0.5865981589	1.640639399
428	0.5868122458	1.638890477
429	0.5865981589	1.637334441
430	0.5880967673	1.635025065
431	0.5878826804	1.63378169
432	0.5880967673	1.631859964
433	0.588953115	1.631073183
434	0.5893812888	1.629605404
435	0.588953115	1.628124504
436	0.5902376365	1.626729237
437	0.5900235496	1.625124334
438	0.5913080711	1.623721752
439	0.591522158	1.622860379
440	0.5913080711	1.621241363
441	0.5913080711	1.620395988
442	0.5919503318	1.618925733
443	0.5925925926	1.617148115
444	0.594091201	1.615857901
445	0.594091201	1.613838657
446	0.5953757225	1.612267456
447	0.5973025048	1.610763124
448	0.5973025048	1.608371154
449	0.5975165917	1.607429534
450	0.5988011133	1.605185113
451	0.5992292871	1.602926607
452	0.6000856348	1.6014944
453	0.5996574609	1.600628657
454	0.6002997217	1.599204378
455	0.602012417	1.597552794
456	0.6005138086	1.595985941
457	0.6002997217	1.595343064
458	0.6013701563	1.593636723
459	0.6026546778	1.591589667
460	0.6024405909	1.589690355
461	0.6024405909	1.588922669
462	0.6024405909	1.588000466
463	0.6026546778	1.586299073
464	0.6017983301	1.584260126
465	0.6030828516	1.582912488
466	0.6041532862	1.581326608
467	0.6050096339	1.579279513
468	0.6062941554	1.5773345
469	0.6069364162	1.575597449
470	0.6069364162	1.57381723
471	0.6080068508	1.57181632
472	0.6075786769	1.570266551
473	0.6082209377	1.568056277
474	0.6086491115	1.566716663
475	0.6095054592	1.564775491
476	0.6097195461	1.563338631
477	0.6105758938	1.561274473
478	0.6112181546	1.559483049
479	0.6112181546	1.558213609
480	0.6122885892	1.556037198
481	0.6122885892	1.555374926
482	0.6125026761	1.554148952
483	0.6131449368	1.552246984
484	0.6131449368	1.551200951
485	0.6133590238	1.550361899
486	0.612716763	1.549033078
